POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,ARTICLE_ID
0,0,0,0.407142857,63.4,29.02208202,36.96883281,63.4,92,317,1.981072555,8,6.14511041,Netclan20241086
0,0,0,0.382760033,36.71428571,30.73929961,26.98143413,36.71428571,237,771,2.068741894,6,6.088197147,Netclan20241087
0,0,0,0.546502976,49.11111111,19.23076923,27.33675214,49.11111111,85,442,1.828054299,8,5.316742081,Netclan20241088
0,0,0,0.301940035,25.57142857,27.37430168,21.1782921,25.57142857,98,358,2.067039106,2,5.902234637,Netclan20241089
0,0,0,0.400075188,218,20.18348624,95.2733945,218,44,218,1.894495413,2,5.339449541,Netclan20241090
2,0,0.9999995,0.406360843,47.55555556,20.3271028,27.15306334,47.55555556,87,428,1.824766355,7,5.238317757,Netclan20241091
0,0,0,0.237891986,75,21.6,38.64,75,81,375,1.92,7,5.658666667,Netclan20241092
0,0,0,0.438520408,108,21.60493827,51.84197531,108,70,324,1.87345679,6,5.824074074,Netclan20241093
0,0,0,0.448247619,70.25,35.9430605,42.4772242,70.25,101,281,2.217081851,9,6.270462633,Netclan20241094
0,0,0,0.258585859,41.77777778,27.12765957,27.56217494,41.77777778,102,376,1.933510638,11,5.412234043,Netclan20241095
1,0,0.999999,0.345454545,118.5,25.52742616,57.61097046,118.5,121,474,1.934599156,1,5.679324895,Netclan20241096
0,0,0,0.373101673,62.71428571,20.95671982,33.46840221,62.71428571,92,439,1.788154897,1,5.193621868,Netclan20241097
0,0,0,0.333928571,72.66666667,24.7706422,38.97492355,72.66666667,54,218,1.97706422,1,5.963302752,Netclan20241098
0,0,0,0.312254902,89.33333333,24.62686567,45.5840796,89.33333333,66,268,1.944029851,2,5.746268657,Netclan20241099
0,0,0,0.344193062,286,23.42657343,123.7706294,286,67,286,1.944055944,1,5.846153846,Netclan20241100
0,0,0,0.24,225,22.22222222,98.88888889,225,50,225,1.928888889,1,5.764444444,Netclan20241101
0,0,0,0.1775,247,23.07692308,108.0307692,247,57,247,1.914979757,2,5.546558704,Netclan20241102
0,0,0,0.29702381,50.16666667,27.24252492,30.96367663,50.16666667,82,301,2.106312292,5,6.179401993,Netclan20241103
0,0,0,0.352676112,27.35714286,24.28198433,20.65565088,27.35714286,93,383,2.065274151,6,6.046997389,Netclan20241104
0,0,0,0.229215229,36.54545455,22.88557214,23.77241067,36.54545455,92,402,1.925373134,8,5.425373134,Netclan20241105
0,0,0,0.372859025,102.6666667,20.12987013,49.11861472,102.6666667,62,308,1.850649351,3,5.383116883,Netclan20241106
0,0,0,0.490909091,172.5,21.15942029,77.46376812,172.5,73,345,1.88115942,2,5.657971014,Netclan20241107
0,0,0,0.391686183,81.33333333,27.15163934,43.39398907,81.33333333,265,976,1.887295082,3,5.283811475,Netclan20241108
0,0,0,0.46801506,54.57894737,24.20443587,31.5133533,54.57894737,251,1037,1.880424301,2,5.307618129,Netclan20241109
0,0,0,0.328451677,81,32.51028807,45.40411523,81,79,243,2.160493827,2,6.378600823,Netclan20241110
0,0,0,0.274151935,38.5,21.55844156,24.02337662,38.5,83,385,1.885714286,4,5.316883117,Netclan20241111
0,0,0,0.316017316,79.33333333,25.21008403,41.81736695,79.33333333,60,238,2.029411765,2,5.941176471,Netclan20241112
0,0,0,0.35954305,74.6,21.17962466,38.31184987,74.6,79,373,1.90080429,4,5.544235925,Netclan20241113
0,0,0,0.335515873,39.83333333,31.79916318,28.65299861,39.83333333,76,239,2.188284519,5,6.389121339,Netclan20241114
0,0,0,0.365310847,78.16666667,30.70362473,43.54811656,78.16666667,144,469,2.159914712,6,6.279317697,Netclan20241115
0,0,0,0.410930736,57.5,31.30434783,35.52173913,57.5,72,230,2.226086957,5,6.113043478,Netclan20241116
0,0,0,0.327367424,56.33333333,21.30177515,31.05404339,56.33333333,72,338,1.878698225,5,5.322485207,Netclan20241117
0,0,0,0.31125731,125.5,33.86454183,63.74581673,125.5,85,251,2.199203187,5,6.310756972,Netclan20241118
0,0,0,0.395833333,60.71428571,29.17647059,35.95630252,60.71428571,124,425,2.110588235,8,5.762352941,Netclan20241119
0,0,0,0.203463203,58.75,25.53191489,33.71276596,58.75,60,235,2.068085106,3,5.965957447,Netclan20241120
0,0,0,0.446309524,40,20.90909091,24.36363636,40,184,880,1.796590909,4,5.270454545,Netclan20241121
0,0,0,0.429885057,34.58823529,14.28571429,19.54957983,34.58823529,84,588,1.675170068,19,4.865646259,Netclan20241122
0,0,0,0.377777778,32.75,31.67938931,25.77175573,32.75,83,262,2.171755725,1,6.278625954,Netclan20241123
0,0,0,0.365625,79.33333333,37.39495798,46.69131653,79.33333333,89,238,2.281512605,1,6.43697479,Netclan20241124
0,0,0,0.450362319,38,20.72368421,23.48947368,38,63,304,1.914473684,5,5.381578947,Netclan20241125
0,0,0,0.443915028,98.6,21.29817444,47.95926978,98.6,105,493,1.912778905,8,5.517241379,Netclan20241126
0,0,0,0.387380952,83,21.28514056,41.71405622,83,106,498,1.823293173,7,5.357429719,Netclan20241127
0,0,0,0.398606374,44.75,22.90502793,27.06201117,44.75,82,358,1.88547486,8,5.279329609,Netclan20241128
0,0,0,0.433837492,142.75,19.43957968,64.87583187,142.75,111,571,1.838879159,15,5.239929947,Netclan20241129
0,0,0,0.451157407,103,28.6407767,52.65631068,103,59,206,2.082524272,8,5.854368932,Netclan20241130
0,0,0,0.427534746,105.6666667,32.17665615,55.13732913,105.6666667,102,317,2.331230284,2,6.678233438,Netclan20241131
0,0,0,0.309619404,40.25,21.58385093,24.73354037,40.25,139,644,1.822981366,10,5.156832298,Netclan20241132
0,0,0,0.345671842,34.51515152,24.05618964,23.42853646,34.51515152,274,1139,1.961369622,12,5.588235294,Netclan20241133
0,0,0,0.379379109,38.6875,28.75605816,26.97742326,38.6875,178,619,2.122778675,6,6.316639742,Netclan20241134
0,0,0,0.175,55,32.72727273,35.09090909,55,18,55,2.018181818,1,5.945454545,Netclan20241135
0,0,0,0.32,119,47.05882353,66.42352941,119,56,119,2.647058824,1,7.31092437,Netclan20241136
0,0,0,0.350649351,67,33.58208955,40.23283582,67,45,134,2.149253731,1,6.029850746,Netclan20241137
0,0,0,0.311111111,132,37.12121212,67.64848485,132,49,132,2.348484848,2,6.840909091,Netclan20241138
0,0,0,0.227651515,89,44.94382022,53.57752809,89,40,89,2.606741573,1,7.235955056,Netclan20241139
0,0,0,0.24,46.5,46.23655914,37.09462366,46.5,43,93,2.698924731,1,7.741935484,Netclan20241140
0,0,0,0.501793719,80.375,23.4836703,41.54346812,80.375,151,643,1.864696734,21,5.292379471,Netclan20241141
0,0,0,0.511818182,37.25,28.18791946,26.17516779,37.25,42,149,2.201342282,3,6.436241611,Netclan20241142
0,0,0,0.616358785,66.125,24.19659735,36.12863894,66.125,128,529,1.920604915,4,5.415879017,Netclan20241143
0,0,0,0.433611111,58.75,23.82978723,33.03191489,58.75,56,235,2.029787234,2,5.914893617,Netclan20241144
0,0,0,0.453472222,42.5,23.29411765,26.31764706,42.5,99,425,1.952941176,15,5.581176471,Netclan20241145
0,0,0,0.413347107,144.3333333,24.48036952,67.52548114,144.3333333,106,433,1.926096998,8,5.461893764,Netclan20241146
0,0,0,0.408333333,47.85714286,26.26865672,29.65031983,47.85714286,88,335,1.973134328,1,5.752238806,Netclan20241147
0,0,0,0.519444444,56.66666667,22.64705882,31.7254902,56.66666667,77,340,1.929411765,8,5.752941176,Netclan20241148
0,0,0,0.11968254,113,29.6460177,57.05840708,113,67,226,2.194690265,1,6.238938053,Netclan20241149
0,0,0,0.275925926,120.5,27.80082988,59.32033195,120.5,67,241,2.136929461,1,6.273858921,Netclan20241150
0,0,0,0.096296296,67.66666667,30.04926108,39.0863711,67.66666667,61,203,2.256157635,1,6.492610837,Netclan20241151
0,0,0,0.207407407,69.66666667,30.62200957,40.11547049,69.66666667,64,209,2.248803828,1,6.555023923,Netclan20241152
0,0,0,0.288359788,32.42857143,25.55066079,23.19169289,32.42857143,58,227,2.105726872,1,5.986784141,Netclan20241153
0,0,0,0.210416667,125,23.6,59.44,125,59,250,2.008,1,5.744,Netclan20241154
0,0,0,0.304007937,114,27.19298246,56.47719298,114,62,228,2.135964912,1,6.004385965,Netclan20241155
0,0,0,0.422174122,32.16666667,25.64766839,23.12573402,32.16666667,99,386,2.010362694,3,5.870466321,Netclan20241156
0,0,0,0.416354385,45.72222222,19.68408262,26.16252194,45.72222222,162,823,1.879708384,7,5.556500608,Netclan20241157
0,0,0,0.48980705,55.66666667,33.53293413,35.67984032,55.66666667,168,501,2.279441118,5,6.375249501,Netclan20241158
0,0,0,0.402476623,80.2,26.05985037,42.50394015,80.2,209,802,2.038653367,4,5.774314214,Netclan20241159
0,0,0,0.251493717,54.82608696,21.57018239,30.55850774,54.82608696,272,1261,1.851704996,8,5.322759715,Netclan20241160
0,0,0,0.340053763,53,18.32884097,28.53153639,53,68,371,1.846361186,14,5.309973046,Netclan20241161
0,0,0,0.429411765,133,21.05263158,61.62105263,133,28,133,2.421052632,1,7.060150376,Netclan20241162
0,0,0,0.245578231,46.66666667,25.71428571,28.95238095,46.66666667,36,140,2.057142857,2,5.821428571,Netclan20241163
